Produto,Preco,Site,Dia,Mes,Ano
Luisance - Lápis para Olhos com Apontador Branco - L887 - W,"R$7
90",Amazon,3,8,2023
"Apontador Plástico Com Deposito Retangular Leo&Leo Leonora, Transparente","R$10
84",Amazon,3,8,2023
"Apontador Escolar com Deposito CIS, Sortidas","R$2
28",Amazon,3,8,2023
"Apontador com Deposito Cis 370 Retangular, Sertic","R$2
36",Amazon,3,8,2023
"Leonora 4752, Apontador Plástico Transparente com Deposito Duplo Oval, Cores Sortidas","R$2
49",Amazon,3,8,2023
"Apontador Escolar Redondo CIS, Sortidas, pacote de 2","R$2
49",Amazon,3,8,2023
"Apontador Escolar CIS, Sortidas","R$2
63",Amazon,3,8,2023
"Lápis de Olho com Apontador, Preto, Bella Femme","R$15
38",Amazon,3,8,2023
APONTADOR COM DEPÓSITO (VERDE),"R$3
00",Amazon,3,8,2023
"Apontador com Deposito Triangular, Pastel, Faber-Castell","R$11
59",Amazon,3,8,2023
IRWIN Lápis para Carpinteiro 66305SL,"R$3
90",Amazon,3,8,2023
"Apontador com Deposito CIS, Sortidas","R$3
36",Amazon,3,8,2023
LAPIS COM APONTADOR DE PONTAS PRETO,"R$3
37",Amazon,3,8,2023
"Lápis Triangular 2B, Faber-Castell, EcoLápis Eco Grip 2001, SM/2001WAP, Preto, 3 Unidades","R$7
10",Amazon,3,8,2023
Lápis Preto 4B Castell 9000 Faber Castell,"R$8
00",Amazon,3,8,2023
Lápis Técnico Preto Regent 9000-5B Faber-Castell,"R$10
47",Amazon,3,8,2023
"Apontador Metálico 1 Furo sem Depósito Ap07 Tilibra, Multicolorido, 1 unidade","R$9
99",Amazon,3,8,2023
Apontador com Depósito BRW - Pastel AP2006 - Sortido,"R$3
90",Amazon,3,8,2023
Caneta Apresentador Laser Controle Controlador Apontador Multimídia Passador De Slides Ministrar Aulas Palestra Congresso Power Point,"R$63
90",Amazon,3,8,2023
"Apontador de lápis manual com recipiente para cinzas, apontador de lápis de plástico com manivela de mesa, fácil de usar e transportar，LIANLI (R标备案，跟卖后果自负)(Rosa)","R$97
00",Amazon,3,8,2023
Caneta Apresentador Laser Controle Controlador Apontador Passador Slides Aulas Palestra,"R$59
87",Amazon,3,8,2023
Giz de Cera 12 Cores Acrilex,"R$8
85",Amazon,3,8,2023
"Apontador com Depósito, Faber-Castell, SM/CLICKBOX, Clickbox, Cores Sortidas","R$3
93",Amazon,3,8,2023
Apontador 1 Furo com Depósito AP11,"R$16
39",Amazon,3,8,2023
"Borracha Branca, Mercur, Record 20, 2 Unidades","R$3
99",Amazon,3,8,2023
"Conjunto Para Desenho 1 Grau 1 E 2 Grau C/05 Pecas Flexivel - Blister com 1 Unidade, Dello, 8700H.0050, Multicor","R$4
33",Amazon,3,8,2023
Apontador com Depósito Duplo Oval Verde - Leo&Leo,"R$9
76",Amazon,3,8,2023
